Date,Closing,Open,High,Low
30-Nov-14,187.48,187.48,187.48,187.48
1-Dec-14,189.35,187.55,187.55,183.4
2-Dec-14,182.3,187.95,188.25,184.25
3-Dec-14,182.55,183.5,183.5,183.5
4-Dec-14,181.55,183.05,184.2,180.55
5-Dec-14,179.1,181,181.4,177.8
7-Dec-14,181.1,181.1,181.1,181.1
8-Dec-14,178.05,180.3,181.35,177
9-Dec-14,179.45,177.05,177.05,177.05
10-Dec-14,177.55,178.5,178.5,178.5
11-Dec-14,175.4,175.85,175.9,175
12-Dec-14,173,174.6,174.6,174
14-Dec-14,174.13,174.13,174.13,174.13
15-Dec-14,178.65,174,179.15,173.5
16-Dec-14,176.7,174.1,174.1,174.1
17-Dec-14,171.85,177.8,178.9,171.15
18-Dec-14,173.65,172.25,172.25,172.25
19-Dec-14,174.7,174.4,177.65,174.15
21-Dec-14,174.88,174.88,174.88,174.88
22-Dec-14,172.15,174.7,176.5,171.1
23-Dec-14,171,172.75,173.95,170.55
24-Dec-14,170.15,170.8,171.85,169.75
26-Dec-14,168.6,171.15,173,167.75
28-Dec-14,169.07,169.07,169.07,169.07
29-Dec-14,165.15,167.65,168.65,164.65
30-Dec-14,164.8,164.5,166.45,164.5
31-Dec-14,166.6,164.95,171.3,164
2-Jan-15,161.05,165.05,167.25,160.2
5-Jan-15,168.1,160.95,168.65,160.1
6-Jan-15,174.9,168.05,175.4,168.05
7-Jan-15,175.05,175.6,182.85,173
8-Jan-15,176.9,175.8,182.35,174.3
9-Jan-15,180.05,177.75,183.85,177.75
12-Jan-15,176.75,181.25,184.9,175.3
13-Jan-15,176.95,177,178.9,173.85
14-Jan-15,179.85,178.25,184.8,177.6
15-Jan-15,176.65,180,182.85,175.2
16-Jan-15,171,177.5,177.6,170.4
20-Jan-15,164.3,170.1,172.5,163.85
21-Jan-15,161.25,166.05,166.85,161
22-Jan-15,159.95,161.4,163.55,159.7
23-Jan-15,162.45,160.7,162.85,159.4
26-Jan-15,161.85,162.2,165.25,160.75
27-Jan-15,168.2,162.3,168.5,161.7
28-Jan-15,167.7,167.05,169.9,165.6
29-Jan-15,160,167.9,167.95,158.7
30-Jan-15,161.9,160.1,162.25,159.2
2-Feb-15,162.45,162.4,163.65,159.7
3-Feb-15,160.75,162.8,163.4,158.4
4-Feb-15,164.9,161.55,167,160.15
5-Feb-15,164.75,164.45,166.4,163.3
6-Feb-15,166.85,165.45,169.75,165.05
9-Feb-15,167.6,166.5,168.1,163.8
10-Feb-15,159.4,167.05,169.25,158.8
11-Feb-15,159.45,160.3,161.35,159
12-Feb-15,164.55,160.05,164.95,159.3
13-Feb-15,163.2,164.6,165.85,162.15
17-Feb-15,155.65,164,165.75,154.5
18-Feb-15,152.8,156.15,157.85,152.05
19-Feb-15,149.2,152.6,153.85,149.4
20-Feb-15,148.65,150.2,151.35,147
23-Feb-15,144.45,147.95,149.75,145.25
